Augustana Faculty,AUMGT,AUMGT200,Introduction to Management
Augustana Faculty,AUMGT,AUMGT206,Mathematics in Economics and Finance
Augustana Faculty,AUMGT,AUMGT310,Corporate Finance
Augustana Faculty,AUMGT,AUMGT320,Business Law
Augustana Faculty,AUMGT,AUMGT330,Introduction to Marketing
Augustana Faculty,AUMGT,AUMGT340,Organizational Behaviour
Augustana Faculty,AUMGT,AUMGT345,Organizational Theory
Augustana Faculty,AUMGT,AUMGT350,Entrepreneurship
Augustana Faculty,AUMGT,AUMGT360,Hockey: Culture and Commerce
Augustana Faculty,AUMGT,AUMGT370,Organizational Research Methods
Augustana Faculty,AUMGT,AUMGT380,Selected Topics in Management
Augustana Faculty,AUMGT,AUMGT381,Selected Topics in Management
Augustana Faculty,AUMGT,AUMGT399A,Management Internship
Augustana Faculty,AUMGT,AUMGT399B,Management Internship
Augustana Faculty,AUMGT,AUMGT490,Business Policy and Strategy
Augustana Faculty,AUMUS,AUMUS100,Introduction to Music Theory
Augustana Faculty,AUMUS,AUMUS127,Voice Class
Augustana Faculty,AUMUS,AUMUS140,Augustana Choir
Augustana Faculty,AUMUS,AUMUS141A,The Augustana Choir
Augustana Faculty,AUMUS,AUMUS141B,The Augustana Choir
Augustana Faculty,AUMUS,AUMUS142,Choral Ensemble
Augustana Faculty,AUMUS,AUMUS143,Choral Ensemble
Augustana Faculty,AUMUS,AUMUS146,CHORAL ENSEMBLE
Augustana Faculty,AUMUS,AUMUS149A,Instrumental Ensemble
Augustana Faculty,AUMUS,AUMUS149B,Instrumental Ensemble
Augustana Faculty,AUMUS,AUMUS160,Theoretical and Analytical Studies I
Augustana Faculty,AUMUS,AUMUS162,Aural and Sight Singing Skills I
Augustana Faculty,AUMUS,AUMUS170,Tuning In: An Introduction to Music
Augustana Faculty,AUMUS,AUMUS188A,Concerto
Augustana Faculty,AUMUS,AUMUS188B,Concerto
Augustana Faculty,AUMUS,AUMUS189A,Service Playing
